,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
632,Dominant-Ankle,sitting:-legs-straight,783.1956313,15.28304277,788.3983765,11551.19513,20327.62426,12931414.62,0.295728368,1448307.869,1.281489595,677247.5844,1.577217963,499996.321,2.29E-08
633,Dominant-Ankle,sitting:-legs-straight,824.3532914,10.12545323,825.4701691,12291.65412,21506.3997,32402855.19,7.894736842,745424.2961,7.796052632,731276.7081,0.986842105,165713.0408,2.44E-07
634,Dominant-Ankle,sitting:-legs-straight,808.2935957,1.623585625,808.1119972,12204.94314,21122.45204,686991.489,3.643326039,40433.3873,0.393873085,38729.02777,0.689277899,20223.22438,5.30E-06
635,Dominant-Ankle,sitting:-legs-straight,807.5425295,1.145387541,807.5308044,11736.07243,21014.74423,262017.862,3.059210526,12224.76421,8.486842105,9418.696676,0.690789474,4612.145712,1.17E-05
636,Dominant-Ankle,sitting:-legs-straight,808.1190518,0.969460811,808.1020975,11266.76684,21000.17919,140471.1525,3.635371179,4807.930914,0.884279476,4300.115079,0.884279476,4012.321315,2.59E-05
637,Dominant-Ankle,sitting:-legs-straight,808.0808661,0.989464829,808.0278461,11607.5295,20967.90018,160026.3684,3.161361142,7047.011279,6.421514819,4843.705858,1.778265642,4127.150245,1.98E-05
638,Dominant-Ankle,sitting:-legs-straight,808.3200162,1.082104406,808.3446047,11439.69021,20832.39849,279434.1475,2.760131435,15390.07104,2.365826944,9831.283381,1.971522453,6580.715101,9.88E-06
639,Dominant-Ankle,sitting:-legs-straight,804.1385806,13.4882593,808.1850036,11929.84602,20931.87643,48566804.58,4.529540481,1024668.062,4.332603939,991647.0007,2.363238512,178286.5462,9.33E-08
640,Dominant-Ankle,sitting:-legs-straight,790.4722078,1.02505085,790.509962,11270.77402,20525.76807,172151.1337,0.496688742,19812.06972,0.59602649,6528.847067,0.993377483,4802.730047,2.89E-06
641,Dominant-Ankle,sitting:-legs-straight,790.8876124,1.075066206,791.0303408,11575.9153,20274.96713,140878.7789,5.767955801,3576.548211,3.38121547,3321.10127,1.889502762,2589.577078,4.09E-05
642,Dominant-Ankle,sitting:-legs-straight,789.8837003,1.343446974,789.8537839,11877.05826,20552.17246,399243.3358,0.389189189,47118.42566,0.486486486,27488.86884,0.875675676,10428.744,9.75E-07
643,Dominant-Ankle,sitting:-legs-straight,789.993596,0.986810205,789.9905063,11510.56358,20376.14799,175043.4558,2.855579869,6902.215264,3.052516411,5537.700235,2.166301969,3174.653422,1.63E-05
644,Dominant-Ankle,sitting:-legs-straight,790.3030345,0.951623538,790.401164,11809.27182,20445.80994,130197.0736,3.943044907,3522.276469,4.534501643,3518.278439,1.47864184,2265.134933,3.03E-05
645,Dominant-Ankle,sitting:-legs-straight,790.7320081,0.964856202,790.6478356,11024.06205,20039.06752,140844.2465,4.351648352,4146.157065,7.516483516,3568.064124,1.879120879,2997.131998,3.09E-05
646,Dominant-Ankle,sitting:-legs-straight,789.592518,9.477007467,790.401164,9102.868943,15637.74955,4954306.081,1.323529412,430400.5335,1.488970588,341370.5885,1.985294118,253142.3157,2.67E-07
647,Dominant-Ankle,sitting:-legs-straight,801.3128359,6.584888171,802.130912,11990.33836,20844.50868,12441835.62,0.394736842,1792051.028,0.493421053,1240422.52,2.072368421,281500.8761,3.17E-08
648,Dominant-Ankle,sitting:-legs-straight,804.8170766,4.44876767,804.2493394,12041.67447,21012.36381,1017405.431,0.393873085,77887.31282,0.295404814,49064.65701,1.378555799,37365.50171,3.87E-07
649,Dominant-Ankle,sitting:-legs-straight,809.2556892,1.190560819,809.4065727,11814.67156,20949.91642,197906.8669,1.087912088,9113.37902,3.263736264,6590.536384,1.087912088,5537.216459,5.50E-06
650,Dominant-Ankle,sitting:-legs-straight,803.8586279,7.169406172,805.306153,12058.83547,20946.15919,14357296.25,4.234135667,249687.8653,4.726477024,246555.3068,2.067833698,145415.806,2.95E-07
651,Dominant-Ankle,sitting:-legs-straight,798.0052242,0.951805297,798.0501237,11898.60778,20660.44465,117419.3865,9.540983607,3079.781651,11.01639344,2935.496088,1.278688525,2515.006716,8.13E-05
652,Dominant-Ankle,sitting:-legs-straight,799.1282047,2.088068099,798.7120883,11954.24891,20830.29798,987018.0977,1.182913472,96454.69365,1.281489595,59749.88068,1.182913472,98107.76253,1.20E-06
653,Dominant-Ankle,sitting:-legs-straight,796.9653822,1.903034243,796.6442117,11759.60964,20698.36209,279643.7862,0.393873085,47768.2089,0.295404814,40503.0998,0.984682713,9182.914675,1.41E-06
654,Dominant-Ankle,sitting:-legs-straight,796.3665853,1.166854564,796.2417974,11655.11579,20753.41345,184876.9831,0.492880613,13953.15329,0.394304491,8182.087979,0.788608981,4301.171406,2.67E-06
655,Dominant-Ankle,sitting:-legs-straight,796.8529135,0.973947248,796.7885541,11960.80796,20614.87543,145490.6595,3.157894737,4928.122523,11.15131579,3844.283506,0.789473684,2142.666365,2.17E-05
656,Dominant-Ankle,sitting:-legs-straight,793.6181595,3.584085742,793.4966919,11912.47392,20701.82564,601561.3767,0.394304491,216637.9772,0.295728368,60721.71093,0.887185104,22754.90841,6.55E-07
657,Dominant-Ankle,sitting:-legs-straight,790.8607802,1.13180478,790.9797722,11945.93759,20626.0989,259980.48,0.590163934,10281.41377,2.360655738,10216.15482,1.868852459,9970.57917,2.27E-06
658,Dominant-Ankle,sitting:-legs-straight,790.9273363,1.079639817,791.0126421,11921.97706,20551.97355,160708.209,3.253012048,4824.966275,7.294633078,4077.786426,1.872946331,3028.703044,2.02E-05
659,Dominant-Ankle,sitting:-legs-straight,788.6906433,1.253736663,788.5334489,11514.63456,20490.86055,177227.0568,0.295081967,15907.61051,0.590163934,8008.411463,2.163934426,6461.05881,1.66E-06
660,Dominant-Ankle,sitting:-legs-straight,793.7139635,1.417657024,793.6378267,11932.05862,20666.61791,362438.3266,0.495594714,33349.11685,0.594713656,21844.55133,0.693832599,17808.35574,1.37E-06
661,Dominant-Ankle,sitting:-legs-straight,796.4283243,4.843186485,795.2534187,11326.15981,20623.87333,5107083.526,2.754098361,269123.0418,2.557377049,246206.6055,1.475409836,227428.3626,5.39E-07
662,Dominant-Ankle,sitting:-legs-straight,795.6582845,3.296186254,794.8918165,11981.61421,20726.12267,1094381.19,0.393873085,224378.9934,0.295404814,70238.07169,0.787746171,40195.26821,3.60E-07
663,Dominant-Ankle,sitting:-legs-straight,819.1824569,17.22648874,821.395752,12095.52182,21319.11091,23300983.71,0.390455531,3464031.112,0.585683297,1467919.061,1.171366594,631180.4826,1.68E-08
664,Dominant-Ankle,sitting:-legs-straight,839.2918454,2.858094785,838.3048372,12516.04326,21944.74386,498203.5167,0.491803279,37117.58728,2.163934426,28927.49754,2.163934426,23389.28853,9.87E-07
665,Dominant-Ankle,sitting:-legs-straight,849.3436896,18.99487437,842.8813677,12542.53029,21750.39744,9604091.235,0.402234637,1130932.363,0.301675978,737548.03,0.905027933,154468.3445,4.19E-08
666,Dominant-Ankle,sitting:-legs-straight,893.1024544,7.790760753,892.7631265,13503.1283,23482.78572,25457818.34,2.228202368,2939028.353,2.131324004,2809681.822,2.131324004,2664165.866,8.75E-08
667,Dominant-Ankle,sitting:-legs-straight,893.0740452,1.417886115,893.1623593,13219.60726,23341.15194,414046.7119,3.055859803,38356.60479,2.464403067,35830.96748,1.774370208,24386.6461,7.38E-06
668,Dominant-Ankle,sitting:-legs-straight,892.3704226,1.239560429,892.2695781,13030.68152,23170.33878,388711.2262,2.757111597,43238.98479,2.95404814,31506.75317,1.575492341,16922.74313,7.09E-06
669,Dominant-Ankle,sitting:-legs-straight,890.8154187,5.049515739,891.3932914,13364.9832,23235.88354,9431355.327,1.971522453,1052619.367,1.872946331,896702.2088,1.971522453,1008456.539,2.09E-07
670,Dominant-Ankle,sitting:-legs-straight,891.9829503,4.341849354,890.744071,13336.9645,23171.52112,1840738.039,2.08839779,218841.5761,1.591160221,124593.6489,2.08839779,196107.4358,1.13E-06
671,Dominant-Ankle,sitting:-legs-straight,895.8121862,1.373357911,895.8392713,13381.24303,23155.19261,468603.7853,3.120805369,51858.97832,3.020134228,34725.03674,1.409395973,24739.69467,6.66E-06
