,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
55,Dominant-Wrist,sitting:-legs-straight,860.1091841,8.408628664,859.6819179,12874.07667,22421.58168,25151091.91,1.278688525,1538327.915,2.06557377,1211821.495,1.278688525,1603313.739,5.08E-08
56,Dominant-Wrist,sitting:-legs-straight,861.0996645,7.578904007,859.9197635,12851.1908,22482.1132,19226229.5,1.080786026,1423297.917,1.277292576,1228432.179,1.080786026,1367708.784,5.62E-08
57,Dominant-Wrist,sitting:-legs-straight,865.8956105,13.61146824,861.9762178,12909.97126,22494.8537,58916164.29,0.393873085,7706343.099,0.590809628,5539512.843,0.787746171,4881275.314,6.69E-09
58,Dominant-Wrist,sitting:-legs-straight,868.7747707,8.338258371,868.7444962,12971.17381,22647.94629,21185847.11,0.982532751,1707102.817,0.589519651,1643652.444,0.982532751,1596351.377,4.64E-08
59,Dominant-Wrist,sitting:-legs-straight,857.5435177,9.973561175,857.2578375,12801.59349,22316.9521,24957440.99,0.393873085,2118423.357,0.984682713,1451659.596,0.984682713,1405213.343,1.58E-08
60,Dominant-Wrist,sitting:-legs-straight,858.2948148,16.56787241,863.8037969,9773.222703,17251.92117,10733505.77,0.494505495,1424906.26,0.659340659,890869.6586,1.978021978,677697.3915,4.61E-08
61,Dominant-Wrist,sitting:-legs-straight,886.2393836,30.64814942,895.8671777,12787.16431,22911.25258,86728875.62,0.68852459,13299938.48,0.295081967,11724836.66,0.68852459,9278632.043,7.94E-09
62,Dominant-Wrist,sitting:-legs-straight,882.1928473,30.21811866,880.8989724,12868.09601,22807.38635,76195722.8,0.787746171,7433219.418,0.393873085,6951805.33,0.787746171,7841185.102,1.03E-08
63,Dominant-Wrist,sitting:-legs-straight,898.5153538,19.75421838,904.2112585,13125.82542,23326.68011,80169826.64,0.394304491,26555202.38,0.591456736,8795645.94,0.591456736,4420127.147,4.92E-09
64,Dominant-Wrist,sitting:-legs-straight,913.8001234,12.89131617,913.3454987,13555.04017,23799.13257,59203995.93,0.589519651,6072680.506,0.884279476,6012687.321,0.786026201,5918825.648,9.96E-09
65,Dominant-Wrist,sitting:-legs-straight,918.9017583,11.29549218,920.9934853,13701.44872,23964.83486,47192301.76,0.393873085,4222204.182,1.47702407,2966385.324,1.47702407,2922490.503,8.35E-09
66,Dominant-Wrist,sitting:-legs-straight,867.8490428,39.45188098,857.8263227,12495.29343,22215.72054,180784966.8,0.295081967,26152762.34,0.885245902,18896812.77,0.885245902,18898031.24,1.63E-09
67,Dominant-Wrist,sitting:-legs-straight,883.0952513,15.51597231,886.3554592,12967.72513,22925.57618,42760330.42,0.394736842,9489520.607,0.493421053,5936874.411,1.184210526,3116315.916,9.23E-09
68,Dominant-Wrist,sitting:-legs-straight,888.8829413,6.282054691,889.8921283,13082.65757,23020.4566,12060451.99,0.590163934,1220737.675,0.68852459,1126976.45,0.786885246,513669.3177,4.89E-08
69,Dominant-Wrist,sitting:-legs-straight,848.7668774,23.81342827,833.7679533,12514.26654,21970.21233,54638312.66,0.884279476,7268356.363,0.786026201,6423680.531,0.884279476,8002349.889,1.62E-08
70,Dominant-Wrist,sitting:-legs-straight,840.3210862,24.21172265,838.4288879,12256.88937,21691.84748,172068429.3,0.493962678,60341296.32,0.395170143,26702758.52,1.185510428,10145344.2,2.87E-09
71,Dominant-Wrist,sitting:-legs-straight,870.4897242,17.66430399,870.3930147,12900.51015,22635.60328,57749633.18,0.491266376,4873585.294,0.589519651,4668506.651,1.375545852,1104307.483,8.51E-09
72,Dominant-Wrist,sitting:-legs-straight,903.3485331,37.8412549,925.3264289,12728.98743,23359.82466,58610659.44,0.295404814,18838419.71,0.393873085,7054184.425,0.689277899,3068458.834,5.04E-09
73,Dominant-Wrist,sitting:-legs-straight,923.0174861,2.401104317,922.6537812,13895.76666,24040.54488,710914.6005,0.591456736,48372.82131,0.690032859,44285.61023,0.690032859,28281.94506,8.32E-07
74,Dominant-Wrist,sitting:-legs-straight,857.3325186,18.43780056,854.5141884,12714.65045,22241.33002,73914478.31,0.393873085,11882747.36,0.492341357,6999859.138,1.575492341,4442586.169,5.33E-09
