,SensorLocation,Activity,MeanSM,StDevSM,MdnSM,belowPer25SM,belowPer75SM,TotPower_0.3_15,FirsDomFre_0.3_15,PowFirsDomFre_0.3_15,SecDomFre_0.3_15,PowSecDomFre_0.3_15,FirsDomFre_0.6_2.5,PowFirsDomFre_0.6_2.5,FirsDomFre_per_TotPower_0.3_15
439,Dominant-Thigh,sitting:-legs-straight,790.6224527,1.061843919,790.6162154,11812.87366,20159.3486,209794.6866,3.039215686,13472.23413,3.823529412,7849.646709,2.156862745,4312.742344,1.45E-05
440,Dominant-Thigh,sitting:-legs-straight,790.7014704,1.164055913,790.6756604,9237.635736,15823.22669,105493.4575,3.913043478,7775.172008,3.260869565,6590.486629,2.282608696,3156.106961,3.71E-05
441,Dominant-Thigh,sitting:-legs-straight,782.9327228,9.836157797,781.6485645,11652.23309,20424.42107,8776829.565,0.491266376,1922064.441,0.3930131,780821.177,1.179039301,765372.9955,5.60E-08
442,Dominant-Thigh,sitting:-legs-straight,783.7877588,8.430724265,781.5919652,11751.96247,20474.3165,15980600.58,0.588235294,779915.3258,0.68627451,705196.9974,0.980392157,549154.6107,3.68E-08
443,Dominant-Thigh,sitting:-legs-straight,794.4108079,1.539517327,794.3915911,11565.43609,20745.80218,678694.1488,3.340611354,39738.07057,2.063318777,33636.79605,2.063318777,36181.85138,4.92E-06
444,Dominant-Thigh,sitting:-legs-straight,794.409377,1.1411612,794.333683,11680.12877,20809.48666,256826.7955,3.042529989,21719.15313,2.94438386,16846.86605,0.981461287,5396.56851,1.18E-05
445,Dominant-Thigh,sitting:-legs-straight,794.8853805,1.095568531,794.8993647,11929.32949,20746.09684,239412.9047,2.846237732,14818.56452,2.649945474,13735.90187,1.962922574,7014.41318,1.19E-05
446,Dominant-Thigh,sitting:-legs-straight,794.7156,1.115843996,794.7861348,11577.66613,20511.33648,266515.4554,3.144104803,30789.77229,2.849344978,17135.24657,2.161572052,6175.808723,1.18E-05
447,Dominant-Thigh,sitting:-legs-straight,794.8340174,1.232595219,794.8509294,11873.07627,20697.9971,358935.6895,2.757111597,29852.19865,2.855579869,23201.45764,2.166301969,10043.26688,7.68E-06
448,Dominant-Thigh,sitting:-legs-straight,794.2009155,3.982615964,794.5401186,11993.14183,20732.58334,5605012.053,2.546245919,211246.8854,4.406964091,140012.7565,2.154515778,105763.3894,4.54E-07
449,Dominant-Thigh,sitting:-legs-straight,792.6051233,1.166211682,792.5282329,11761.31978,20716.05182,295601.6217,0.590163934,15841.80305,1.278688525,12162.09947,1.278688525,11627.35469,2.00E-06
450,Dominant-Thigh,sitting:-legs-straight,792.501841,1.246578864,792.5282329,11863.89392,20728.18436,363989.8954,4.416575791,35290.92725,2.846237732,17845.29337,2.355507088,5409.585097,1.21E-05
451,Dominant-Thigh,sitting:-legs-straight,792.4851763,1.185729191,792.467665,11838.47262,20727.86313,310396.4627,0.885245902,18611.03721,4.032786885,12444.29493,0.885245902,15465.56559,2.85E-06
